,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,nouvelle_aquitaine_45.0_45.5_1.0_1.5,nouvelle_aquitanie_45.5_46.0_1.5_2.0,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733
alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,0.0,2.760853864618459,2.5043236885138507,2.3052944282590486,2.0515927820442226,3.2609809701123234,4.182976573904971,3.9241202213360835,4.626835276053195,4.447610114761073,5.462210558988109,5.8404475591553675
alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,2.760853864618459,0.0,0.3534940022058352,0.5171719353444449,4.623203225418221,5.920750060021946,1.4608329476049742,1.2119895434487156,1.8669897637562538,1.700427359971876,2.7139385986410596,3.0951824093377094
andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,2.5043236885138507,0.3534940022058352,0.0,0.20729228530337465,4.380504587724697,5.67340977937092,1.6978227914780446,1.4491712583271619,2.133076448992075,1.9551983131887927,2.9595916702744542,3.340161409270545
andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,2.3052944282590486,0.5171719353444449,0.20729228530337465,0.0,4.198744190858899,5.481430736075812,1.8793956007047008,1.6239206573114673,2.3324046971292423,2.1511147900545136,3.1569909850995503,3.5353389623476796
himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,2.0515927820442226,4.623203225418221,4.380504587724697,4.198744190858899,0.0,1.369911546560531,6.068512385298498,5.808571653038899,6.486618881516445,6.318587240636899,7.336955992167016,7.7182392808912885
himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,3.2609809701123234,5.920750060021946,5.67340977937092,5.481430736075812,1.369911546560531,0.0,7.359099623100732,7.099280525463087,7.786980932453132,7.612954261201302,8.632965309394647,9.01345728727354
nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,4.182976573904971,1.4608329476049742,1.6978227914780446,1.8793956007047008,6.068512385298498,7.359099623100732,0.0,0.29214236611478006,0.8962543379440402,0.942339461632827,1.3345633047184562,1.661543667745578
nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,3.9241202213360835,1.2119895434487156,1.4491712583271619,1.6239206573114673,5.808571653038899,7.099280525463087,0.29214236611478006,0.0,0.9127048448614364,0.854760222832029,1.5505793168886246,1.9168150586061963
nouvelle_aquitaine_45.0_45.5_1.0_1.5,4.626835276053195,1.8669897637562538,2.133076448992075,2.3324046971292423,6.486618881516445,7.786980932453132,0.8962543379440402,0.9127048448614364,0.0,0.2030642686048173,0.867147307450026,1.2342263758181764
nouvelle_aquitanie_45.5_46.0_1.5_2.0,4.447610114761073,1.700427359971876,1.9551983131887927,2.1511147900545136,6.318587240636899,7.612954261201302,0.942339461632827,0.854760222832029,0.2030642686048173,0.0,1.034470220896357,1.403321494770954
sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,5.462210558988109,2.7139385986410596,2.9595916702744542,3.1569909850995503,7.336955992167016,8.632965309394647,1.3345633047184562,1.5505793168886246,0.867147307450026,1.034470220896357,0.0,0.38128631974836075
sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,5.8404475591553675,3.0951824093377094,3.340161409270545,3.5353389623476796,7.7182392808912885,9.01345728727354,1.661543667745578,1.9168150586061963,1.2342263758181764,1.403321494770954,0.38128631974836075,0.0
